scenario,step,phase,method,qname,seconds
insertion_only,0,init_base,,,2.404
insertion_only,0,analyze,,,0.0004
insertion_only,0,init_method,logical_views,,0.0558
insertion_only,0,init_method,ivm,,0.0629
insertion_only,0,init_method,crown,,0.1152
insertion_only,5,staging,,,4.5717
insertion_only,5,base_insert,,,2.055
insertion_only,5,checkpoint,recompute,,0.1554
insertion_only,5,query,recompute,q1,0.0979
insertion_only,5,count_query,recompute,q1,0.0906
insertion_only,5,query,recompute,q2,0.0622
insertion_only,5,count_query,recompute,q2,0.0471
insertion_only,5,query,recompute,q3,0.0698
insertion_only,5,count_query,recompute,q3,0.0529
insertion_only,5,query,recompute,q4,0.0108
insertion_only,5,count_query,recompute,q4,0.0033
insertion_only,5,checkpoint,logical_views,,0.0496
insertion_only,5,query,logical_views,q1,0.1076
insertion_only,5,count_query,logical_views,q1,0.0467
insertion_only,5,query,logical_views,q2,0.044
insertion_only,5,count_query,logical_views,q2,0.0331
insertion_only,5,query,logical_views,q3,0.0651
insertion_only,5,count_query,logical_views,q3,0.0349
insertion_only,5,query,logical_views,q4,0.0096
insertion_only,5,count_query,logical_views,q4,0.0034
insertion_only,5,checkpoint,ivm,,0.0497
insertion_only,5,maintain,ivm,,0.3265
insertion_only,5,query,ivm,q1,0.0622
insertion_only,5,count_query,ivm,q1,0.014
insertion_only,5,query,ivm,q2,0.0245
insertion_only,5,count_query,ivm,q2,0.0081
insertion_only,5,query,ivm,q3,0.0297
insertion_only,5,count_query,ivm,q3,0.0044
insertion_only,5,query,ivm,q4,0.0108
insertion_only,5,count_query,ivm,q4,0.003
insertion_only,5,checkpoint,crown,,0.1516
insertion_only,5,maintain,crown,,0.2232
insertion_only,5,query,crown,q1,0.086
insertion_only,5,count_query,crown,q1,0.0211
insertion_only,5,query,crown,q2,0.0296
insertion_only,5,count_query,crown,q2,0.0097
insertion_only,5,query,crown,q3,0.0728
insertion_only,5,count_query,crown,q3,0.0052
insertion_only,5,query,crown,q4,0.0099
insertion_only,5,count_query,crown,q4,0.0043
insertion_only,10,staging,,,4.4639
insertion_only,10,base_insert,,,3.4927
insertion_only,10,checkpoint,recompute,,0.2664
insertion_only,10,query,recompute,q1,0.1472
insertion_only,10,count_query,recompute,q1,0.1106
insertion_only,10,query,recompute,q2,0.0753
insertion_only,10,count_query,recompute,q2,0.069
insertion_only,10,query,recompute,q3,0.1143
insertion_only,10,count_query,recompute,q3,0.0688
insertion_only,10,query,recompute,q4,0.0115
insertion_only,10,count_query,recompute,q4,0.0037
insertion_only,10,checkpoint,logical_views,,0.0921
insertion_only,10,query,logical_views,q1,0.1376
insertion_only,10,count_query,logical_views,q1,0.0673
insertion_only,10,query,logical_views,q2,0.0563
insertion_only,10,count_query,logical_views,q2,0.047
insertion_only,10,query,logical_views,q3,0.0746
insertion_only,10,count_query,logical_views,q3,0.0491
insertion_only,10,query,logical_views,q4,0.0101
insertion_only,10,count_query,logical_views,q4,0.0033
insertion_only,10,checkpoint,ivm,,0.0868
insertion_only,10,maintain,ivm,,0.4068
insertion_only,10,query,ivm,q1,0.1056
insertion_only,10,count_query,ivm,q1,0.02
insertion_only,10,query,ivm,q2,0.0245
insertion_only,10,count_query,ivm,q2,0.0103
insertion_only,10,query,ivm,q3,0.0418
insertion_only,10,count_query,ivm,q3,0.0059
insertion_only,10,query,ivm,q4,0.0086
insertion_only,10,count_query,ivm,q4,0.0031
insertion_only,10,checkpoint,crown,,0.2308
insertion_only,10,maintain,crown,,0.2714
insertion_only,10,query,crown,q1,0.1196
insertion_only,10,count_query,crown,q1,0.0396
insertion_only,10,query,crown,q2,0.0346
insertion_only,10,count_query,crown,q2,0.0151
insertion_only,10,query,crown,q3,0.0648
insertion_only,10,count_query,crown,q3,0.0075
insertion_only,10,query,crown,q4,0.0087
insertion_only,10,count_query,crown,q4,0.0032
insertion_only,15,staging,,,4.4576
insertion_only,15,base_insert,,,3.2657
insertion_only,15,checkpoint,recompute,,0.3555
insertion_only,15,query,recompute,q1,0.1727
insertion_only,15,count_query,recompute,q1,0.1448
insertion_only,15,query,recompute,q2,0.0769
insertion_only,15,count_query,recompute,q2,0.0735
insertion_only,15,query,recompute,q3,0.1209
insertion_only,15,count_query,recompute,q3,0.0695
insertion_only,15,query,recompute,q4,0.0192
insertion_only,15,count_query,recompute,q4,0.0033
insertion_only,15,checkpoint,logical_views,,0.1055
insertion_only,15,query,logical_views,q1,0.1732
insertion_only,15,count_query,logical_views,q1,0.0678
insertion_only,15,query,logical_views,q2,0.0625
insertion_only,15,count_query,logical_views,q2,0.0507
insertion_only,15,query,logical_views,q3,0.1006
insertion_only,15,count_query,logical_views,q3,0.0537
insertion_only,15,query,logical_views,q4,0.0124
insertion_only,15,count_query,logical_views,q4,0.0031
insertion_only,15,checkpoint,ivm,,0.1103
insertion_only,15,maintain,ivm,,0.4442
insertion_only,15,query,ivm,q1,0.1295
insertion_only,15,count_query,ivm,q1,0.0218
