scenario,step,phase,method,qname,seconds
insertion_only,0,init_base,,,11.142
insertion_only,0,init_method,logical_views,,0.1365
insertion_only,0,init_method,ivm,,0.2324
insertion_only,0,init_index,ivm,,0.1866
insertion_only,0,init_method,crown,,0.1666
insertion_only,0,init_index,crown,,0.1489
insertion_only,0,init_index,crown,,0.0652
insertion_only,5,staging,,,2.3055
insertion_only,5,base_insert,,,0.5825
insertion_only,5,analyze,,,102.2058
insertion_only,5,query,recompute,q1,0.1949
insertion_only,5,count_query,recompute,q1,0.1768
insertion_only,5,query,recompute,q2,0.1627
insertion_only,5,count_query,recompute,q2,0.1721
insertion_only,5,query,recompute,q3,0.1783
insertion_only,5,count_query,recompute,q3,0.1715
insertion_only,5,query,recompute,q4,0.0533
insertion_only,5,count_query,recompute,q4,0.0527
insertion_only,5,query,logical_views,q1,0.2232
insertion_only,5,count_query,logical_views,q1,0.2084
insertion_only,5,query,logical_views,q2,0.1619
insertion_only,5,count_query,logical_views,q2,0.1544
insertion_only,5,query,logical_views,q3,0.2086
insertion_only,5,count_query,logical_views,q3,0.2069
insertion_only,5,query,logical_views,q4,0.0533
insertion_only,5,count_query,logical_views,q4,0.0555
insertion_only,5,maintain,ivm,,2.0697
insertion_only,5,analyze,ivm,,15.0522
insertion_only,5,query,ivm,q1,0.0881
insertion_only,5,count_query,ivm,q1,0.0607
insertion_only,5,query,ivm,q2,0.0566
insertion_only,5,count_query,ivm,q2,0.058
insertion_only,5,query,ivm,q3,0.0676
insertion_only,5,count_query,ivm,q3,0.0637
insertion_only,5,query,ivm,q4,0.0572
insertion_only,5,count_query,ivm,q4,0.0558
insertion_only,5,maintain,crown,,0.9654
insertion_only,5,analyze,crown,,5.4643
insertion_only,5,query,crown,q1,0.1231
insertion_only,5,count_query,crown,q1,0.1157
insertion_only,5,query,crown,q2,0.0678
insertion_only,5,count_query,crown,q2,0.0612
insertion_only,5,query,crown,q3,0.0651
insertion_only,5,count_query,crown,q3,0.0603
insertion_only,5,query,crown,q4,0.0568
insertion_only,5,count_query,crown,q4,0.0549
insertion_only,5,analyze,,,48.7301
insertion_only,10,staging,,,2.3121
insertion_only,10,base_insert,,,0.5876
insertion_only,10,query,recompute,q1,0.3237
insertion_only,10,count_query,recompute,q1,0.3066
insertion_only,10,query,recompute,q2,0.296
insertion_only,10,count_query,recompute,q2,0.2821
insertion_only,10,query,recompute,q3,0.2925
insertion_only,10,count_query,recompute,q3,0.2934
insertion_only,10,query,recompute,q4,0.0611
insertion_only,10,count_query,recompute,q4,0.0526
insertion_only,10,query,logical_views,q1,0.3632
insertion_only,10,count_query,logical_views,q1,0.3387
insertion_only,10,query,logical_views,q2,0.2309
insertion_only,10,count_query,logical_views,q2,0.2251
insertion_only,10,query,logical_views,q3,0.3323
insertion_only,10,count_query,logical_views,q3,0.3358
insertion_only,10,query,logical_views,q4,0.0528
insertion_only,10,count_query,logical_views,q4,0.0534
insertion_only,10,maintain,ivm,,1.3601
insertion_only,10,query,ivm,q1,0.096
insertion_only,10,count_query,ivm,q1,0.0661
insertion_only,10,query,ivm,q2,0.063
insertion_only,10,count_query,ivm,q2,0.0564
insertion_only,10,query,ivm,q3,0.0723
insertion_only,10,count_query,ivm,q3,0.0663
insertion_only,10,query,ivm,q4,0.0603
insertion_only,10,count_query,ivm,q4,0.0509
insertion_only,10,maintain,crown,,1.1448
insertion_only,10,query,crown,q1,0.1356
insertion_only,10,count_query,crown,q1,0.1317
insertion_only,10,query,crown,q2,0.0816
insertion_only,10,count_query,crown,q2,0.0651
insertion_only,10,query,crown,q3,0.0634
insertion_only,10,count_query,crown,q3,0.0633
insertion_only,10,query,crown,q4,0.0592
insertion_only,10,count_query,crown,q4,0.053
insertion_only,15,staging,,,2.2265
insertion_only,15,base_insert,,,0.5534
insertion_only,15,query,recompute,q1,0.5237
insertion_only,15,count_query,recompute,q1,0.5056
insertion_only,15,query,recompute,q2,0.4725
insertion_only,15,count_query,recompute,q2,0.4654
insertion_only,15,query,recompute,q3,0.495
insertion_only,15,count_query,recompute,q3,0.4796
insertion_only,15,query,recompute,q4,0.0608
insertion_only,15,count_query,recompute,q4,0.0517
insertion_only,15,query,logical_views,q1,0.5036
insertion_only,15,count_query,logical_views,q1,0.4666
insertion_only,15,query,logical_views,q2,0.3215
insertion_only,15,count_query,logical_views,q2,0.3129
insertion_only,15,query,logical_views,q3,0.4781
insertion_only,15,count_query,logical_views,q3,0.4741
insertion_only,15,query,logical_views,q4,0.0534
insertion_only,15,count_query,logical_views,q4,0.0522
insertion_only,15,maintain,ivm,,1.6825
insertion_only,15,query,ivm,q1,0.1192
insertion_only,15,count_query,ivm,q1,0.074
insertion_only,15,query,ivm,q2,0.0646
insertion_only,15,count_query,ivm,q2,0.0627
insertion_only,15,query,ivm,q3,0.0852
insertion_only,15,count_query,ivm,q3,0.0783
insertion_only,15,query,ivm,q4,0.0569
insertion_only,15,count_query,ivm,q4,0.0566
insertion_only,15,maintain,crown,,1.2606
insertion_only,15,query,crown,q1,0.1816
insertion_only,15,count_query,crown,q1,0.145
insertion_only,15,query,crown,q2,0.1086
insertion_only,15,count_query,crown,q2,0.0733
insertion_only,15,query,crown,q3,0.0714
insertion_only,15,count_query,crown,q3,0.0713
insertion_only,15,query,crown,q4,0.0546
insertion_only,15,count_query,crown,q4,0.054
insertion_only,20,staging,,,2.2381
insertion_only,20,base_insert,,,0.5372
insertion_only,20,query,recompute,q1,0.81
insertion_only,20,count_query,recompute,q1,0.788
insertion_only,20,query,recompute,q2,0.7221
insertion_only,20,count_query,recompute,q2,0.7119
insertion_only,20,query,recompute,q3,0.7689
insertion_only,20,count_query,recompute,q3,0.7529
insertion_only,20,query,recompute,q4,0.0552
insertion_only,20,count_query,recompute,q4,0.0568
insertion_only,20,query,logical_views,q1,0.6848
insertion_only,20,count_query,logical_views,q1,0.6103
insertion_only,20,query,logical_views,q2,0.3917
insertion_only,20,count_query,logical_views,q2,0.3905
insertion_only,20,query,logical_views,q3,0.6452
insertion_only,20,count_query,logical_views,q3,0.6252
insertion_only,20,query,logical_views,q4,0.0631
insertion_only,20,count_query,logical_views,q4,0.0565
insertion_only,20,maintain,ivm,,2.0668
